name,dn,orig,dest,t,link,x,s,v
0,5,N1,S1,45,N1I1,0.0,125.0,30.0
0,5,N1,S1,50,N1I1,100.0,175.0,20.0
0,5,N1,S1,55,N1I1,250.0,175.0,30.0
0,5,N1,S1,60,N1I1,400.0,75.0,30.0
0,5,N1,S1,65,N1I1,450.0,25.0,10.0
0,5,N1,S1,70,N1I1,450.0,25.0,0.0
0,5,N1,S1,75,N1I1,450.0,25.0,0.0
0,5,N1,S1,80,N1I1,450.0,-1.0,0.0
0,5,N1,S1,85,I1S1,100.0,-1.0,10.0
0,5,N1,S1,90,I1S1,250.0,-1.0,30.0
0,5,N1,S1,95,I1S1,400.0,-1.0,30.0
0,5,N1,S1,95,trip_end,-1.0,-1.0,-1.0
1,5,N1,S1,60,waiting_at_origin_node,-1.0,-1.0,-1.0
1,5,N1,S1,65,waiting_at_origin_node,-1.0,-1.0,-1.0
1,5,N1,S1,70,N1I1,0.0,175.0,30.0
1,5,N1,S1,75,N1I1,150.0,175.0,30.0
1,5,N1,S1,80,N1I1,300.0,75.0,30.0
1,5,N1,S1,85,N1I1,350.0,25.0,10.0
1,5,N1,S1,90,N1I1,350.0,25.0,0.0
1,5,N1,S1,95,N1I1,350.0,25.0,0.0
